,Unnamed: 0.1,Unnamed: 0,Datetime,TweetId,Texto,Username,Idioma,Palavra,UserDescription,UserDescriptionRaw,FriendsCount,Status,Retweet,Quoted,toxidade,Texto-Limpo
10,10,10,2018-10-07 21:29:30+00:00,1049049100078014465,"Caralho a senhora operada 
A senhora com um puta carisma pede desculpa ainda
Retardada do caralho fdp baitola fdp hpv tre",joeyporto79,pt,baitola,neo-humorista e dono do fãclube oficial do adam sandler comedian sommelier,neo-humorista e dono do fãclube oficial do adam sandler comedian sommelier,1081,152740,,,1,Caralho a senhora operada A senhora com um puta carisma pede desculpa ainda Retardada do caralho fdp baitola fdp hpv tre
11,11,11,2018-10-07 21:20:34+00:00,1049046853151576069,"@_fabianoestrela tu vai ter um orgasmo, baitola",tripsbabo,pt,baitola,AQUI É GRÊMIO!! 🇪🇪🇪🇪🇪🇪🇺🇾 Eng. Ambiental e Sanitária - UFPR,AQUI É GRÊMIO!! 🇪🇪🇪🇪🇪🇪🇺🇾 Eng. Ambiental e Sanitária - UFPR,478,88069,,,0,"tu vai ter um orgasmo, baitola"
12,12,12,2018-10-07 21:18:51+00:00,1049046421201145857,Tô rachando de rir com os áudios do meu pai KKKKKKK cara baitola anem,AndreMnds10,pt,baitola,O próprio,O próprio,582,28703,,,1,Tô rachando de rir com os áudios do meu pai KKKKKKK cara baitola anem
13,13,13,2018-10-07 20:56:40+00:00,1049040838544822272,"meu pai: pablo para de falar assim coisa de baitola

pai????? https://t.co/6k9SMX1OU7",isakyaki0,pt,baitola,pirata,pirata,883,20682,,,1,meu pai: pablo para de falar assim coisa de baitola pai?????
14,14,14,2018-10-07 20:48:33+00:00,1049038792802390016,@igorsrod @geraldonleao @zlatwn @anacarollne Deixa de ser baitola rapaz...,Robsonmarques25,pt,baitola,Preguiça kk,Preguiça kk,102,1162,,,1,Deixa de ser baitola rapaz...
15,15,15,2018-10-07 20:29:32+00:00,1049034010108809216,@_SerieB_2018 ESQUECE O VASCO!!! TU TA PIOR QUE O BAITOLA DO @ESCANTElOCURTO .,B_Braunbar13,pt,baitola,1 Timóteo 2:5,1 Timóteo 2:5,166,12242,,,1,ESQUECE O VASCO!!! TU TA PIOR QUE O BAITOLA DO .
16,16,16,2018-10-07 20:10:02+00:00,1049029100852195330,@guedesnino Sai daí baitola,Rafaellinsd,pt,baitola,"Poético, lindo e gostoso","Poético, lindo e gostoso",106,3079,,,1,Sai daí baitola
17,17,17,2018-10-07 20:06:40+00:00,1049028253787324418,@Tomazine420 @10Ronaldinho Tá em choque seu baitola,marcosmarcosfm8,pt,baitola,,,89,207,,,1,Tá em choque seu baitola
18,18,18,2018-10-07 19:59:15+00:00,1049026389251448838,"@maridecasstro se referir a alguém como ""viado"" e ""baitola"" como forma de ofensa é ser homofóbico, então acho que ele é sim",akagomes,pt,baitola,@botafogo,@botafogo,369,9242,,,1,"se referir a alguém como ""viado"" e ""baitola"" como forma de ofensa é ser homofóbico, então acho que ele é sim"
19,19,19,2018-10-07 19:57:13+00:00,1049025877596504064,@Derpmau5_ eu mesma quando um idiota chamou o mesario de baitola,cavalinhodeasas,pt,baitola,,,262,16226,,,1,eu mesma quando um idiota chamou o mesario de baitola
20,20,20,2018-10-07 19:33:56+00:00,1049020016157503488,"eu perguntei se ele achava errado de alguma forma e so me apoiava pq sou a filha dele, ai ele “de jeito algum, eu acho certo e que amor é amor e de modo ALGUM seria errado ou uma aberraçao” eu fiquei a baitola mais feliz do mundo gente",moonrirse,pt,baitola,,,84,97057,,,0,"eu perguntei se ele achava errado de alguma forma e so me apoiava pq sou a filha dele, ai ele “de jeito algum, eu acho certo e que amor é amor e de modo ALGUM seria errado ou uma aberraçao” eu fiquei a baitola mais feliz do mundo gente"
21,21,21,2018-10-07 19:29:24+00:00,1049018876527333376,"eu vim de carona cm uma colega da minha vó e as duas ficaram chamando um cara da rua de baitola, que agora tudo é homofobia, dei logo um corte na conversa e mudei de assunto",jeovannabritto,pt,baitola,perfil de reclamações,perfil de reclamações,243,14550,,,1,"eu vim de carona cm uma colega da minha vó e as duas ficaram chamando um cara da rua de baitola, que agora tudo é homofobia, dei logo um corte na conversa e mudei de assunto"
22,22,22,2018-10-07 18:59:14+00:00,1049011283805310979,@XboxMilGrau_ Mais uma baitola comunista,emersonpereiras,pt,baitola,"Brasileiro, negro, patriota, cristão, protetor e defensor da minha família!

Isaías 5:20","Brasileiro, negro, patriota, cristão, protetor e defensor da minha família!

Isaías 5:20",252,6557,,,1,Mais uma baitola comunista
23,23,23,2018-10-07 17:53:53+00:00,1048994838622982144,@betoxi_ Aaah seu baitola é assim nerrr. Se fosse de bike era a primeira a fazer inscrição !!,LaarisSaantos,pt,baitola,Vou logo avisando só falo do @fortalezaec !,Vou logo avisando só falo do @fortalezaec !,504,26539,,,1,Aaah seu baitola é assim nerrr. Se fosse de bike era a primeira a fazer inscrição !!
24,24,24,2018-10-07 17:17:59+00:00,1048985803995734018,"Meu amigo que é gay ta fazendo campanha pro Bozo, depois ele quer respeito em quem  o ofende chamando de baitola",GagaViegas,pt,baitola,as vezes nem o tomar no cu tá me satisfazendo,as vezes nem o tomar no cu tá me satisfazendo,1188,122997,,,1,"Meu amigo que é gay ta fazendo campanha pro Bozo, depois ele quer respeito em quem o ofende chamando de baitola"
25,25,25,2018-10-07 17:10:56+00:00,1048984027867369472,"grupo do zap do cara que ta na minha frebte da fila pra votar

""Ta cheio de cara com #elenunca""
""Pqp""
""Bando de baitola""
""Bate neles""",geinesss,pt,baitola,old sapatona vegana e estudante de psicologia. (ela/dela),old sapatona vegana e estudante de psicologia. (ela/dela),399,89889,,,0,"grupo do zap do cara que ta na minha frebte da fila pra votar ""Ta cheio de cara com #elenunca"" ""Pqp"" ""Bando de baitola"" ""Bate neles"""
26,26,26,2018-10-07 17:05:03+00:00,1048982547311595522,"@Netao08 Some daqui seu baitola, q tu só quer rt",luannaGomes08,pt,baitola,ninguém liga more🪬,ninguém liga more🪬,655,24714,,,1,"Some daqui seu baitola, q tu só quer rt"
27,27,27,2018-10-07 16:57:47+00:00,1048980722315419648,@cartolastats Baitola mesmo rsrs,Lucianofr1000,pt,baitola,Seja a mudança que vc quer ver no mundo!!!,Seja a mudança que vc quer ver no mundo!!!,189,773,,,1,Baitola mesmo rsrs
28,28,28,2018-10-07 16:57:13+00:00,1048980577234444294,@Rennanolivveira @cartolastats Outro baitola rsrs,Lucianofr1000,pt,baitola,Seja a mudança que vc quer ver no mundo!!!,Seja a mudança que vc quer ver no mundo!!!,189,773,,,1,Outro baitola rsrs
29,29,29,2018-10-07 16:43:25+00:00,1048977103847342087,"@letsbeobscene @paulet182 toma demônio, baitola",MADanononymous,pt,baitola,so what?,so what?,375,884,,,1,"toma demônio, baitola"
30,30,30,2018-10-07 16:33:58+00:00,1048974725748350984,"Talvez,  e   baitola,   e ele não  sabe. https://t.co/Y7j52QbC2J",MariaJliaNunes4,pt,baitola,,,31,17,,https://twitter.com/catracalivre/status/1048745883825856513,1,"Talvez, e baitola, e ele não sabe."
31,31,31,2018-10-07 16:30:26+00:00,1048973839361826817,to aq muito baitola escutando ed sheeran,maschaotic,pt,baitola,a +burra do site,a +burra do site,1326,138686,,,0,to aq muito baitola escutando ed sheeran
32,32,32,2018-10-07 16:15:41+00:00,1048970123615330304,@chico_pinheiro @LeneSouzinhaa É um baitola,vannabrasil,pt,baitola,"gari, separo o lixo reciclável e contribuo para o respiro do planeta.","gari, separo o lixo reciclável e contribuo para o respiro do planeta.",953,16219,,,1,É um baitola
33,33,33,2018-10-07 16:08:55+00:00,1048968421214498821,"mulher falando que votou no coiso pq vai acabar com tanta gaysisse, pq ela quer ter um filho e não quer que fique nesse país cheio de baitola...
MAS NÃO, NÃO É DISCURSO DE ÓDIO NÃO",kakauwho,pt,baitola,sobrevivendo no inferno - ela/dela,sobrevivendo no inferno - ela/dela,98,10811,,,1,"mulher falando que votou no coiso pq vai acabar com tanta gaysisse, pq ela quer ter um filho e não quer que fique nesse país cheio de baitola... MAS NÃO, NÃO É DISCURSO DE ÓDIO NÃO"
34,34,34,2018-10-07 16:03:33+00:00,1048967070333984768,@ericsevla Tu é baitola é,ladyzuda,pt,baitola,vivendo ou apenas existindo? 🤷🏼‍♀️,vivendo ou apenas existindo? 🤷🏼‍♀️,2802,91957,,,1,Tu é baitola é
35,35,35,2018-10-07 15:42:58+00:00,1048961891194884098,"Ja posso te chamar de viado sem ser chamado de machista, etc ista; e dizer que tenho amigo baitola sem ser chamado de ptista...
Paz.",Masulo_30,pt,baitola,,,64,446,,,1,"Ja posso te chamar de viado sem ser chamado de machista, etc ista; e dizer que tenho amigo baitola sem ser chamado de ptista... Paz."
36,36,36,2018-10-07 15:05:21+00:00,1048952425414111232,"@leviitea @JLucasmb @nilsonfd2015 “um viado com areia no cu”.
Em 1993, no “Fantástico”, ele disse que gaúchos defensores da separação do Sul do país tinham “desvios homossexuais”. Em 1994, numa convenção tucana em Contagem (MG), ele chamou um opositor de “baitola”.",WayneStalony,pt,baitola,JESUS É O DONO DO LUGAR 🎴 ㅤㅤㅤㅤㅤㅤ🔥,JESUS É O DONO DO LUGAR 🎴 ㅤㅤㅤㅤㅤㅤ🔥,3462,16706,,,1,"“um viado com areia no cu”. Em 1993, no “Fantástico”, ele disse que gaúchos defensores da separação do Sul do país tinham “desvios homossexuais”. Em 1994, numa convenção tucana em Contagem (MG), ele chamou um opositor de “baitola”."
37,37,37,2018-10-07 14:14:49+00:00,1048939709148405762,Gostei de um vídeo @YouTube https://t.co/MS0JUVroD3 SOU BAITOLA (PARODIA MC BRUNINHO - JOGO DO AMOR),ewerton14anos,pt,baitola,"""C0L4 3M M1M QU3 SUC3SS0""","""C0L4 3M M1M QU3 SUC3SS0""",87,2023,,,0,Gostei de um vídeo SOU BAITOLA (PARODIA MC BRUNINHO - JOGO DO AMOR)
38,38,38,2018-10-07 13:47:50+00:00,1048932917798457344,Tmj Junto meu Piazinho kkkk Baitola https://t.co/xQidgpeiLJ,AllyssonGoulart,pt,baitola,"Snap: alisson1Goulart
Face: Alisson Goulart
Insta: Goulart_alisson
😌🍃☝","Snap: alisson1Goulart
Face: Alisson Goulart
Insta: Goulart_alisson
😌🍃☝",525,8479,,,0,Tmj Junto meu Piazinho kkkk Baitola
39,39,39,2018-10-07 13:29:37+00:00,1048928335215169541,@VEJA Esse baitola vai pra lugar algum,vilaca_sergio,pt,baitola,Vasco da Gama✌ Fjv!,Vasco da Gama✌ Fjv!,236,12704,,,1,Esse baitola vai pra lugar algum
40,40,40,2018-10-07 12:32:36+00:00,1048913986593480704,"@duduzedo @marcofeliciano Todo mundo e, inclusive, vc pode ser baitola. Só não vão poder forçar isso como vêm tentando fazer a todo custo na minha vida nem da minha família. “Vai queimar a rosca aonde bem entender...”",gustavonoleto,pt,baitola,"Direita, família, Bolsonaro e, acima de tudo, cristão.","Direita, família, Bolsonaro e, acima de tudo, cristão.",62,600,,,1,"Todo mundo e, inclusive, vc pode ser baitola. Só não vão poder forçar isso como vêm tentando fazer a todo custo na minha vida nem da minha família. “Vai queimar a rosca aonde bem entender...”"
41,41,41,2018-10-07 11:29:11+00:00,1048898024527863808,"MISSÃO DADA É MISSÃO CUMPRIDA.
MUITO OBRIGADO POR ME FAZER ACREDITAR NO MEU PAÍS DE NOVO, JB, POR ME FAZER VER UMA FOTO DE UM CANDIDATO NUMA URNA!
NÃO SOU BAITÔLA, MAS ESSE CARA MECHEU COMIGO...
Kakakakakakakakaka https://t.co/qJMBlFfJzg",MagreLouko,pt,baitola,"Marido da Maria, pai do Pedro, filho da Leusa e do Liberato (que Deus o tenha, meu pai), criador da Mel (a mãe), Mia e Amora (as filhotinhas).DFB 🙏🏼👪🇧🇷","Marido da Maria, pai do Pedro, filho da Leusa e do Liberato (que Deus o tenha, meu pai), criador da Mel (a mãe), Mia e Amora (as filhotinhas).DFB 🙏🏼👪🇧🇷",3466,20577,,,1,"MISSÃO DADA É MISSÃO CUMPRIDA. MUITO OBRIGADO POR ME FAZER ACREDITAR NO MEU PAÍS DE NOVO, JB, POR ME FAZER VER UMA FOTO DE UM CANDIDATO NUMA URNA! NÃO SOU BAITÔLA, MAS ESSE CARA MECHEU COMIGO... Kakakakakakakakaka"
42,42,42,2018-10-07 10:33:39+00:00,1048884049480208384,"Quem chama Bolsonaro de Farsista ou é bandido ou é baitola emcubado... 😎👉👉

Vixe... 😲

Postei e sair correndo... 🏃",Evan_Stos,pt,baitola,"Não tire conclusões...
Me pergunte! 😏💭","Não tire conclusões...
Me pergunte! 😏💭",175,4290,,,1,Quem chama Bolsonaro de Farsista ou é bandido ou é baitola emcubado... 😎👉👉 Vixe... 😲 Postei e sair correndo... 🏃
43,43,43,2018-10-07 09:39:50+00:00,1048870508245241856,@betoxi_ Tu é doido baitola kkkk,LaarisSaantos,pt,baitola,Vou logo avisando só falo do @fortalezaec !,Vou logo avisando só falo do @fortalezaec !,504,26539,,,1,Tu é doido baitola kkkk
44,44,44,2018-10-07 06:39:20+00:00,1048825083194724352,"@jbanguela O baitola acabou com a maquiagem da mãe,vai apanhar muito quando ela chegar do rolê.",erbettribeiro,pt,baitola,"Um flamenguista deste  que fui gerado e um apreciador de lindas mulheres e mais que  isto, um apaixonado  por elas!","Um flamenguista deste  que fui gerado e um apreciador de lindas mulheres e mais que  isto, um apaixonado  por elas!",296,15527,,,1,"O baitola acabou com a maquiagem da mãe,vai apanhar muito quando ela chegar do rolê."
45,45,45,2018-10-07 06:29:12+00:00,1048822530683883520,sou baitola demais :(((((( https://t.co/qX04anowx2,teiguk,pt,baitola,jungkook.97 & thv,jungkook.97 & thv,242,123183,,https://twitter.com/teiguk/status/1048822316065542145,0,sou baitola demais :((((((
46,46,46,2018-10-07 06:11:10+00:00,1048817992346324992,foda que eu sou baitola até quando to dodói ://,jeonciet,pt,baitola,⠀  ⠀⠀1997.ᅠ,⠀  ⠀⠀https://t.co/dFhbbp7Y3o,450,162169,,,0,foda que eu sou baitola até quando to dodói ://
47,47,47,2018-10-07 05:26:43+00:00,1048806809312681984,tendo meus surtos de baitola essa hora e eu doente ainda serio ta foda,jeonciet,pt,baitola,⠀  ⠀⠀1997.ᅠ,⠀  ⠀⠀https://t.co/dFhbbp7Y3o,450,162169,,,1,tendo meus surtos de baitola essa hora e eu doente ainda serio ta foda
48,48,48,2018-10-07 04:19:27+00:00,1048789878438342656,baitola por best of me 1 da manha,mygistd,pt,baitola,dont fuck with me i have the power of god and anime on my side,dont fuck with me i have the power of god and anime on my side,137,9966,,,0,baitola por best of me 1 da manha
49,49,49,2018-10-07 03:36:33+00:00,1048779082916384769,@luisheniquefer @crfias Flw baitola,Aletwr2016,pt,baitola,"BOLSONARO 2022 👉🇧🇷Estelinh👧 👶Eva
🤘IRON MAIDEN
🚴Ciclismo de Estrada🚵 @clubedoremo🦁
        TORÇO PARA O MAIOR CLUBE DE FUTEBOL DO MUNDO - @vascodagama","BOLSONARO 2022 👉🇧🇷Estelinh👧 👶Eva
🤘IRON MAIDEN
🚴Ciclismo de Estrada🚵 @clubedoremo🦁
        TORÇO PARA O MAIOR CLUBE DE FUTEBOL DO MUNDO - @vascodagama",321,25239,,,1,Flw baitola
50,50,50,2018-10-07 03:29:58+00:00,1048777424538882049,"@luisheniquefer Vai de #EuVotoBolsonaro baitola, ou tu é a favor do kit gay?",Aletwr2016,pt,baitola,"BOLSONARO 2022 👉🇧🇷Estelinh👧 👶Eva
🤘IRON MAIDEN
🚴Ciclismo de Estrada🚵 @clubedoremo🦁
        TORÇO PARA O MAIOR CLUBE DE FUTEBOL DO MUNDO - @vascodagama","BOLSONARO 2022 👉🇧🇷Estelinh👧 👶Eva
🤘IRON MAIDEN
🚴Ciclismo de Estrada🚵 @clubedoremo🦁
        TORÇO PARA O MAIOR CLUBE DE FUTEBOL DO MUNDO - @vascodagama",321,25239,,,1,"Vai de #EuVotoBolsonaro baitola, ou tu é a favor do kit gay?"
51,51,51,2018-10-07 02:48:18+00:00,1048766941685592064,EU TO MUITO BAITOLA COM ESSAS FOTOS MEU DEUS DO CEU O OLHAR O SORRISINHO EU QUERO EXPLODIR DE TANTO AMOR https://t.co/Q71MYXnBTM,eviljhs,pt,baitola,ؘ,ؘ,2812,104052,,https://twitter.com/BTS_twt/status/1048762717794910208,1,EU TO MUITO BAITOLA COM ESSAS FOTOS MEU DEUS DO CEU O OLHAR O SORRISINHO EU QUERO EXPLODIR DE TANTO AMOR
52,52,52,2018-10-07 02:38:45+00:00,1048764538294865921,@BTS_twt to muito baitola escrevi tudo errado..,cosmlight,pt,baitola,,,83,235671,,,0,to muito baitola escrevi tudo errado..
53,53,53,2018-10-07 02:22:59+00:00,1048760570302947336,"@putacocanarinho Dmr meu parça mas guarda pra vc sua opinião, ou enfia ela no seu cu sua baitola sem educação",jpleite10,pt,baitola,❤️💚@Fluminensefc,❤️💚@Fluminensefc,230,2779,,,1,"Dmr meu parça mas guarda pra vc sua opinião, ou enfia ela no seu cu sua baitola sem educação"
54,54,54,2018-10-07 02:12:27+00:00,1048757918517133312,@felipecaetano42 Té baitola é,brunortrind,pt,baitola,,,152,99,,,1,Té baitola é
55,55,55,2018-10-07 02:08:16+00:00,1048756865964892160,bts deixa meu coração tão quentinho que eu fico baitola pra caralho,piwedpiper,pt,baitola,,,1284,110892,,,1,bts deixa meu coração tão quentinho que eu fico baitola pra caralho
56,56,56,2018-10-07 02:04:49+00:00,1048755998796779520,"@fernando_copatt @Oledobrasil CLUBISTA MISERÁVEL PAU NO TEU CU COM AREIA SEU FILHO DE UMA CADELA LEPROSA
NÃO ADIANTA LATIR..SILENCIEI AS NOTIFICAÇÕES SEU BAITOLA KKKKKK",RossoNero_20,pt,baitola,"Bastone che nasce storto, non si raddrizza mai, ragazza che ondeggia prende la testa..💃🙆","Bastone che nasce storto, non si raddrizza mai, ragazza che ondeggia prende la testa..💃🙆",439,32460,,,1,CLUBISTA MISERÁVEL PAU NO TEU CU COM AREIA SEU FILHO DE UMA CADELA LEPROSA NÃO ADIANTA LATIR..SILENCIEI AS NOTIFICAÇÕES SEU BAITOLA KKKKKK
57,57,57,2018-10-07 01:52:37+00:00,1048752926339026944,Juiz mais baitola do universo é esse do jogo do grêmio,liviacopelli_,pt,baitola,Fé 🤙🏻,Fé 🤙🏻,335,5542,,,1,Juiz mais baitola do universo é esse do jogo do grêmio
58,58,58,2018-10-07 01:44:51+00:00,1048750972883881984,@gabrielgleydso8 Baitola tá sempre sentindo alguma coisa....né bambi.....,rleiva1001,pt,baitola,,,351,5795,,,1,Baitola tá sempre sentindo alguma coisa....né bambi.....
59,59,59,2018-10-07 01:39:54+00:00,1048749726672343040,@GTochico @padre_paulo Carola cabacinho coroinha arrombado pelo padre baitola,Ateuignorante,pt,baitola,Me ajude a desvendar as grandes questões bíblicas! (DE VOLTA!),Me ajude a desvendar as grandes questões bíblicas! (DE VOLTA!),164,60018,,,1,Carola cabacinho coroinha arrombado pelo padre baitola
60,60,60,2018-10-07 01:37:29+00:00,1048749119391617024,"@iagoIV Goleiro marrento e com cara de mau, o cara q inspirou o baitola do Rogério Ceni. Só podia ser 17",sscpSBMA,pt,baitola,"A partir de agora só futebol, mais especificamente, meu Coringão","A partir de agora só futebol, mais especificamente, meu Coringão",619,18376,,,0,"Goleiro marrento e com cara de mau, o cara q inspirou o baitola do Rogério Ceni. Só podia ser 17"
61,61,61,2018-10-07 01:09:11+00:00,1048741996293246976,"@lucaseduardrz quem diria ne, jogo de baitola",JRafael13318591,pt,baitola,,,43,16,,,1,"quem diria ne, jogo de baitola"
62,62,62,2018-10-07 00:52:03+00:00,1048737685207207938,"to tao baitola hoje, só queria um carinho na bunda",sunrtly,pt,baitola,@beyonce 🐆,@beyonce 🐆,654,16709,,,1,"to tao baitola hoje, só queria um carinho na bunda"
63,63,63,2018-10-07 00:37:22+00:00,1048733991535357957,"@Giovana95710833 Não é mentira não! E os outros eventos que ele disse coisas piores do tipo que os gaúchos separatistas tem "" desvios homossexuais""? Ao chamar um opositor de ""baitola""? É tudo mentira né? Fora ao chamar o Fernando Holiday de negro capitãozinho do mato! Racista também!",ancapetada,pt,baitola,Usuária de Crocs,Usuária de Crocs,249,11821,,,1,"Não é mentira não! E os outros eventos que ele disse coisas piores do tipo que os gaúchos separatistas tem "" desvios homossexuais""? Ao chamar um opositor de ""baitola""? É tudo mentira né? Fora ao chamar o Fernando Holiday de negro capitãozinho do mato! Racista também!"
64,64,64,2018-10-07 00:28:53+00:00,1048731855099502592,@kristenyF33 Me manda lá no wpp baitola,HozeiasFelicio,pt,baitola,"Ipatinga, MG🚩 Cruzeiro Esporte Clube 💙","Ipatinga, MG🚩 Cruzeiro Esporte Clube 💙",350,12793,,,1,Me manda lá no wpp baitola
65,65,65,2018-10-07 00:12:11+00:00,1048727653212143616,"Que porra é Poc? 

É a nova maneira de falar viado,bicha,queima rosca,baitola,bichona,morde fronha, biba,São Paulino, gazela...?",rzzobf,pt,baitola,Um 👨🏼‍⚕️ ⚕ um pouco louco 🤪/ Nas horas vagas 🧑🏼‍🌾🐄🐂🐎 / Futebol Feminino  / Benvenuto 🇮🇹,Um 👨🏼‍⚕️ ⚕ um pouco louco 🤪/ Nas horas vagas 🧑🏼‍🌾🐄🐂🐎 / Futebol Feminino  / Benvenuto 🇮🇹,432,189868,,,1,"Que porra é Poc? É a nova maneira de falar viado,bicha,queima rosca,baitola,bichona,morde fronha, biba,São Paulino, gazela...?"
66,66,66,2018-10-07 00:03:51+00:00,1048725555150041088,@MomentsBrasil Pesquisa baitola. #HaddadE13,leandro645,pt,baitola,"- Deus'

#BetasegueBeta
#betalab
#SDV
#followback
#tim
#timbeta
#missaobetalab
#betaajudabeta
#operacaoBetaLab","- Deus'

#BetasegueBeta
#betalab
#SDV
#followback
#tim
#timbeta
#missaobetalab
#betaajudabeta
#operacaoBetaLab",1586,1668,,,0,Pesquisa baitola. #HaddadE13
67,67,67,2018-10-07 00:01:09+00:00,1048724876947869696,"@alcatra_iron30 Ola ola ola, quem tem o nariz de planaria é baitola",jjulia_vieira,pt,baitola,,,216,2253,,,1,"Ola ola ola, quem tem o nariz de planaria é baitola"
