,Unnamed: 0,id,Datetime,TweetId,Texto,Username,Idioma,Palavra,UserDescription,UserDescriptionRaw,FriendsCount,Status,Retweet,Quoted,toxidade,Texto-Limpo,HateSpeech,rotulagem-manual,rotulagem
19,49,49,2018-10-07 03:36:33+00:00,1048779082916384769,@luisheniquefer @crfias Flw baitola,Aletwr2016,pt,baitola,"BOLSONARO 2022 👉🇧🇷Estelinh👧 👶Eva
🤘IRON MAIDEN
🚴Ciclismo de Estrada🚵 @clubedoremo🦁
        TORÇO PARA O MAIOR CLUBE DE FUTEBOL DO MUNDO - @vascodagama","BOLSONARO 2022 👉🇧🇷Estelinh👧 👶Eva
🤘IRON MAIDEN
🚴Ciclismo de Estrada🚵 @clubedoremo🦁
        TORÇO PARA O MAIOR CLUBE DE FUTEBOL DO MUNDO - @vascodagama",321,25239,,,1,Flw baitola,yes,,r
20,50,50,2018-10-07 03:29:58+00:00,1048777424538882049,"@luisheniquefer Vai de #EuVotoBolsonaro baitola, ou tu é a favor do kit gay?",Aletwr2016,pt,baitola,"BOLSONARO 2022 👉🇧🇷Estelinh👧 👶Eva
🤘IRON MAIDEN
🚴Ciclismo de Estrada🚵 @clubedoremo🦁
        TORÇO PARA O MAIOR CLUBE DE FUTEBOL DO MUNDO - @vascodagama","BOLSONARO 2022 👉🇧🇷Estelinh👧 👶Eva
🤘IRON MAIDEN
🚴Ciclismo de Estrada🚵 @clubedoremo🦁
        TORÇO PARA O MAIOR CLUBE DE FUTEBOL DO MUNDO - @vascodagama",321,25239,,,1,"Vai de #EuVotoBolsonaro baitola, ou tu é a favor do kit gay?",yes,,r
21,53,53,2018-10-07 02:22:59+00:00,1048760570302947336,"@putacocanarinho Dmr meu parça mas guarda pra vc sua opinião, ou enfia ela no seu cu sua baitola sem educação",jpleite10,pt,baitola,❤️💚@Fluminensefc,❤️💚@Fluminensefc,230,2779,,,1,"Dmr meu parça mas guarda pra vc sua opinião, ou enfia ela no seu cu sua baitola sem educação",yes,,r
22,56,56,2018-10-07 02:04:49+00:00,1048755998796779520,"@fernando_copatt @Oledobrasil CLUBISTA MISERÁVEL PAU NO TEU CU COM AREIA SEU FILHO DE UMA CADELA LEPROSA
NÃO ADIANTA LATIR..SILENCIEI AS NOTIFICAÇÕES SEU BAITOLA KKKKKK",RossoNero_20,pt,baitola,"Bastone che nasce storto, non si raddrizza mai, ragazza che ondeggia prende la testa..💃🙆","Bastone che nasce storto, non si raddrizza mai, ragazza che ondeggia prende la testa..💃🙆",439,32460,,,1,CLUBISTA MISERÁVEL PAU NO TEU CU COM AREIA SEU FILHO DE UMA CADELA LEPROSA NÃO ADIANTA LATIR..SILENCIEI AS NOTIFICAÇÕES SEU BAITOLA KKKKKK,yes,,r
23,58,58,2018-10-07 01:44:51+00:00,1048750972883881984,@gabrielgleydso8 Baitola tá sempre sentindo alguma coisa....né bambi.....,rleiva1001,pt,baitola,,,351,5795,,,1,Baitola tá sempre sentindo alguma coisa....né bambi.....,yes,,r
24,62,62,2018-10-07 00:52:03+00:00,1048737685207207938,"to tao baitola hoje, só queria um carinho na bunda",sunrtly,pt,baitola,@beyonce 🐆,@beyonce 🐆,654,16709,,,1,"to tao baitola hoje, só queria um carinho na bunda",yes,,r
25,64,64,2018-10-07 00:28:53+00:00,1048731855099502592,@kristenyF33 Me manda lá no wpp baitola,HozeiasFelicio,pt,baitola,"Ipatinga, MG🚩 Cruzeiro Esporte Clube 💙","Ipatinga, MG🚩 Cruzeiro Esporte Clube 💙",350,12793,,,1,Me manda lá no wpp baitola,yes,,r
26,65,65,2018-10-07 00:12:11+00:00,1048727653212143616,"Que porra é Poc? 

É a nova maneira de falar viado,bicha,queima rosca,baitola,bichona,morde fronha, biba,São Paulino, gazela...?",rzzobf,pt,baitola,Um 👨🏼‍⚕️ ⚕ um pouco louco 🤪/ Nas horas vagas 🧑🏼‍🌾🐄🐂🐎 / Futebol Feminino  / Benvenuto 🇮🇹,Um 👨🏼‍⚕️ ⚕ um pouco louco 🤪/ Nas horas vagas 🧑🏼‍🌾🐄🐂🐎 / Futebol Feminino  / Benvenuto 🇮🇹,432,189868,,,1,"Que porra é Poc? É a nova maneira de falar viado,bicha,queima rosca,baitola,bichona,morde fronha, biba,São Paulino, gazela...?",yes,,r
27,66,66,2018-10-07 00:03:51+00:00,1048725555150041088,@MomentsBrasil Pesquisa baitola. #HaddadE13,leandro645,pt,baitola,"- Deus'

#BetasegueBeta
#betalab
#SDV
#followback
#tim
#timbeta
#missaobetalab
#betaajudabeta
#operacaoBetaLab","- Deus'

#BetasegueBeta
#betalab
#SDV
#followback
#tim
#timbeta
#missaobetalab
#betaajudabeta
#operacaoBetaLab",1586,1668,,,0,Pesquisa baitola. #HaddadE13,yes,,r
28,69,69,2018-10-06 23:38:13+00:00,1048719102968258560,"@junior_pato @luizguiprado Sabe quem é burro?burro é o cara q dá o cu pra outro comer,e come o cu do outro,vc acha q o burro é burro?o burro é mais inteligente do q vc,o burro come a priquita da besta,e ñ dá o cu dele ñ. Sim antes vc diga algo,vou te falar eu gosto é de mulher viu,seu baitola desgraçado 😂",Roberto61145286,pt,baitola,"Palmeirense de corpo e alma,minha família,minha razão de viver,melhor amigo é Deus,Deus acima de tudo...","Palmeirense de corpo e alma,minha família,minha razão de viver,melhor amigo é Deus,Deus acima de tudo...",171,2740,,,1,"Sabe quem é burro?burro é o cara q dá o cu pra outro comer,e come o cu do outro,vc acha q o burro é burro?o burro é mais inteligente do q vc,o burro come a priquita da besta,e ñ dá o cu dele ñ. Sim antes vc diga algo,vou te falar eu gosto é de mulher viu,seu baitola desgraçado 😂",yes,,r
29,73,73,2018-10-06 22:30:40+00:00,1048702104112717825,"[06/10/2018 7:29:42 PM]: se tu fosse homem
[06/10/2018 7:29:50 PM]: eu seria baitola dai",dudameister_,pt,baitola,criadora de conteúdo & palhaça nas horas vagas. 📩 contato: dudandrademeister@gmail.com,criadora de conteúdo & palhaça nas horas vagas. 📩 contato: dudandrademeister@gmail.com,596,27498,,,1,[06/10/2018 7:29:42 PM]: se tu fosse homem [06/10/2018 7:29:50 PM]: eu seria baitola dai,yes,,r
30,74,74,2018-10-06 22:17:55+00:00,1048698895377846272,"@lucas_breguez Mais é 
Altas foto
E vc que é gay, baitola do caralho",ShowDWill,pt,baitola,@isaaabento👫❤,@isaaabento👫❤,383,5822,,,1,"Mais é Altas foto E vc que é gay, baitola do caralho",yes,,r
31,76,76,2018-10-06 21:43:36+00:00,1048690260274794497,@ponchohd ja quer causar é baitola,descansen,pt,baitola,jogue seu priquito no fogo rapariga réa chei de pomba dentro,jogue seu priquito no fogo rapariga réa chei de pomba dentro,248,289038,,,1,ja quer causar é baitola,yes,,r
32,77,77,2018-10-06 20:50:01+00:00,1048676774673092608,@dariojjunior @edmilsonpapo10 Baitola? Só por causa da gravatinha???? Kkkkk,bocalves,pt,baitola,nada a declarar!!!,nada a declarar!!!,991,24326,,,0,Baitola? Só por causa da gravatinha???? Kkkkk,yes,,r
33,80,80,2018-10-06 18:54:44+00:00,1048647762219290624,Meu irmão é um baitola mesmo,_karolixx,pt,baitola,@flamengo ❤️,@flamengo ❤️,613,84843,,,1,Meu irmão é um baitola mesmo,yes,,r
34,83,83,2018-10-06 18:00:14+00:00,1048634048590036998,@TharikVidinha Mesma cara baitola,RamonAzevedo1,pt,baitola,,,464,26074,,,1,Mesma cara baitola,yes,,r
35,86,86,2018-10-06 16:25:10+00:00,1048610126083608576,@thiagoh30 Baitola e vc,AlanRyuston,pt,baitola,"One Dream One Wish                                          
                  kanaetai nara Over The Top👊🏻🔥
                Dattebayo💕😍","One Dream One Wish                                          
                  kanaetai nara Over The Top👊🏻🔥
                Dattebayo💕😍",554,17303,,,0,Baitola e vc,yes,,r
36,89,89,2018-10-06 14:52:15+00:00,1048586740955533312,"@FrexeyFx Baitola é o pai, eita esqueci q vc ñ tem tururuuuuuuuuuuuuuuuuuuuu",OFAKEDesigner,pt,baitola,,,302,4185,,,0,"Baitola é o pai, eita esqueci q vc ñ tem tururuuuuuuuuuuuuuuuuuuuu",yes,,r
37,90,90,2018-10-06 14:50:08+00:00,1048586207922462720,"@culturejimin @hobistanz Me dxou soft seu baitola😍😍😍😍
Adoro tu porra💜
E eu sou uma neném minha idade n importa👌",Maarii_mariaa,pt,baitola,"Isso não vai nos levar a lugar nenhum não, você não ama ninguém.

CE/🦁 - 💉","Isso não vai nos levar a lugar nenhum não, você não ama ninguém.

CE/🦁 - 💉",1657,6995,,,0,Me dxou soft seu baitola😍😍😍😍 Adoro tu porra💜 E eu sou uma neném minha idade n importa👌,yes,,r
38,91,91,2018-10-06 14:25:04+00:00,1048579898976194560,"Rpz a cara de pau dum psicopata n tem limites! Vc bloqueia a pessoa, sabe de todas as merdas q ela fez contra vc e a pessoa INSISTE EM FALAR CTG COMO SE NADA TIVESSE ACONTECIDO. Vá tomar no cu, fi de rapariga! Vê se me erra, baitola!",behbastos,pt,baitola,🎙@avexadospodcast   🇷🇺 @russaalma,🎙@avexadospodcast   🇷🇺 @russaalma,312,109675,,,1,"Rpz a cara de pau dum psicopata n tem limites! Vc bloqueia a pessoa, sabe de todas as merdas q ela fez contra vc e a pessoa INSISTE EM FALAR CTG COMO SE NADA TIVESSE ACONTECIDO. Vá tomar no cu, fi de rapariga! Vê se me erra, baitola!",yes,,r
39,92,92,2018-10-06 11:52:12+00:00,1048541430879334400,nois dois juntos somos tóxicos KAKAKAKAKAKKAKAKAKAKAKAKAKAKAKKAKAKAKAKA CALA A BOCA MLK BAITOLA,eobcnevida,pt,baitola,futuro pintador de botão,futuro pintador de botão,583,20757,,,1,nois dois juntos somos tóxicos KAKAKAKAKAKKAKAKAKAKAKAKAKAKAKKAKAKAKAKA CALA A BOCA MLK BAITOLA,yes,,r
40,94,94,2018-10-06 11:19:20+00:00,1048533159460179968,@Sudamericana QUANDO TIVE O OUTRO JOGO.... TU BOTA AQUELE JUIZ  VIADO DE NOVO... AQUELE FRSSCO DO CÃO ... JUIZ METIDO A BAITOLA,Cleber51309521,pt,baitola,"😲Para Pra Ver, Que Começou o Show Do Meu Tricolor🎶🇭🇺🇭🇺","😲Para Pra Ver, Que Começou o Show Do Meu Tricolor🎶🇭🇺🇭🇺",236,4120,,,1,QUANDO TIVE O OUTRO JOGO.... TU BOTA AQUELE JUIZ VIADO DE NOVO... AQUELE FRSSCO DO CÃO ... JUIZ METIDO A BAITOLA,yes,,r
41,96,96,2018-10-06 04:15:09+00:00,1048426408303890432,"@g1 Isso é um mentiroso que nao cansa de passar vergonha. 
Um homi desse, levou chibata até do haddad... Arri égua! Nam! 
Ta levando mais chibata que bunda de baitola!",fernandoaxgomes,pt,baitola,Cristão e Patriota!,Cristão e Patriota!,1768,11285,,,1,"Isso é um mentiroso que nao cansa de passar vergonha. Um homi desse, levou chibata até do haddad... Arri égua! Nam! Ta levando mais chibata que bunda de baitola!",yes,,r
42,97,97,2018-10-06 04:07:45+00:00,1048424547425423360,"@RenovaMidia @letrin45 Mas homi... Pense num petista azarado esse lindbosta.
Leva mais chibata que bunda de baitola.
Arri égua!",fernandoaxgomes,pt,baitola,Cristão e Patriota!,Cristão e Patriota!,1768,11285,,,1,Mas homi... Pense num petista azarado esse lindbosta. Leva mais chibata que bunda de baitola. Arri égua!,yes,,r
43,100,100,2018-10-06 03:26:21+00:00,1048414127646003201,"sera que as mae da minha amiga me usa como exemplo ruim?

""se tu num estudar vai ficar que nem demian, vagando em evento tentando vender desenho e dançando com um monte de baitola""",naoehodemian,pt,baitola,"He/She/They |
NB |
always forgetting or being forgotten |
Gamer and Artist","He/She/They |
NB |
always forgetting or being forgotten |
Gamer and Artist",166,20498,,,0,"sera que as mae da minha amiga me usa como exemplo ruim? ""se tu num estudar vai ficar que nem demian, vagando em evento tentando vender desenho e dançando com um monte de baitola""",yes,,r
44,104,104,2018-10-06 02:22:29+00:00,1048398057438674946,@degelopedro Vai ouvi mamonas seu baitola,Lorenzzoni,pt,baitola,"Oh no, I see a darkness","Oh no, I see a darkness",398,14923,,,1,Vai ouvi mamonas seu baitola,yes,,r
45,106,106,2018-10-06 02:14:43+00:00,1048396100015742977,Crush — fala direito baitola https://t.co/1mX7SyUnHf,heelo_mafra,pt,baitola,,,517,34268,,,1,Crush — fala direito baitola,yes,,r
46,108,108,2018-10-06 01:03:05+00:00,1048378076395134977,@Alissuu__ seu pau no cu kkkkkkk baitola msm 💔💔,MarcosGemeo,pt,baitola,@luizace1998 💍❤️,@luizace1998 💍❤️,1039,11755,,,1,seu pau no cu kkkkkkk baitola msm 💔💔,yes,,r
47,113,113,2018-10-06 00:17:08+00:00,1048366510689988614,@garrafinho @raffatalquei @palestrino7999 @Desordeiro1914 @Renan_Sep27 @renatotezei Esse garrafinho é baitola né,imendesjr,pt,baitola,"Palmeirense Fanático, Casado e Católico.","Palmeirense Fanático, Casado e Católico.",858,18452,,,1,Esse garrafinho é baitola né,yes,,r
48,114,114,2018-10-06 00:10:21+00:00,1048364802303827969,@e001 Caos o teu cu baitola perdeu pro penúltimo colocado,dentinhOo00,pt,baitola,,,728,7558,,,1,Caos o teu cu baitola perdeu pro penúltimo colocado,yes,,r
49,115,115,2018-10-07 23:59:19+00:00,1049086802810863616,"@beccapires bicha, vai votar!!!!",maribzer,pt,bicha,,,419,49299,,,1,"bicha, vai votar!!!!",yes,,r
50,117,117,2018-10-07 23:59:12+00:00,1049086774214103042,"@jjkpjmagic @jiminaoleite Tu não disse isso. Tem que ser brasileiro mesmo, o bicha burra do caralho. Não se tá zuando né? Só pode né o embuste. Que merda se tem na cabeça o Caraí, de que mundo vc veio.",Min_YoonHan,pt,bicha,fan account,fan account,2083,4013,,,1,"Tu não disse isso. Tem que ser brasileiro mesmo, o bicha burra do caralho. Não se tá zuando né? Só pode né o embuste. Que merda se tem na cabeça o Caraí, de que mundo vc veio.",yes,,r
51,118,118,2018-10-07 23:58:43+00:00,1049086651270610947,Agora virei petista bicha,tjkarokx,pt,bicha,sem o menor interesse em nada,sem o menor interesse em nada,2608,2994,,,1,Agora virei petista bicha,yes,,r
52,119,119,2018-10-07 23:57:32+00:00,1049086355563859969,Eu adoro as bicha social midia com a barba desenhada falando que o nordeste é maravilhoso mas só tira férias com o namoradinho da agência em miami ou na itália passar um find em Acopiara no Ceára ninguém quer né rs,MeioSemTempo,pt,bicha,"Estou aqui porque não dá pra reclamar da vida no Procon.
Seja feliz👍","Estou aqui porque não dá pra reclamar da vida no Procon.
Seja feliz👍",154,53043,,,0,Eu adoro as bicha social midia com a barba desenhada falando que o nordeste é maravilhoso mas só tira férias com o namoradinho da agência em miami ou na itália passar um find em Acopiara no Ceára ninguém quer né rs,yes,,r
53,121,121,2018-10-07 23:56:19+00:00,1049086046670151680,"Vei, acabei de ver viado dizendo que não  fará  camapanha pra Haddad. BICHA SE INTERNA OU VAI PRO SUL, tu não ta entendendo as proporções das coisas.",euris,pt,bicha,instagram.com/eurisc,https://t.co/spYm4XZvPu,629,34912,,,1,"Vei, acabei de ver viado dizendo que não fará camapanha pra Haddad. BICHA SE INTERNA OU VAI PRO SUL, tu não ta entendendo as proporções das coisas.",yes,,r
54,123,123,2018-10-07 23:53:49+00:00,1049085418023636994,@DriiehViik Daqui a pouco dar uma ventania vc voa junto 😂😂😂😂😂 vai comer bicha !,Vivi_Preta,pt,bicha,'     Suportando o processo para viver o propósito 🙏🏾✨,'     Suportando o processo para viver o propósito 🙏🏾✨,651,4543,,,1,Daqui a pouco dar uma ventania vc voa junto 😂😂😂😂😂 vai comer bicha !,yes,,r
55,124,124,2018-10-07 23:52:25+00:00,1049085066721280000,@ntnleal666 ô bicha............... https://t.co/NCvybFIQhP,zezeyles,pt,bicha,icon by @lipeartwork,icon by @lipeartwork,666,31289,,,1,ô bicha...............,yes,,r
56,129,129,2018-10-07 23:49:38+00:00,1049084365744033793,"se já era difícil ser bicha, mulher, pobre, preto, favelado, imagina depois dessas eleições",nattansoarxx,pt,bicha,"O pretinho rei que a beyonce está falando, sou eu 🐩","O pretinho rei que a beyonce está falando, sou eu 🐩",975,44333,,,1,"se já era difícil ser bicha, mulher, pobre, preto, favelado, imagina depois dessas eleições",yes,,r
57,130,130,2018-10-07 23:48:39+00:00,1049084118569500674,@alexdiz_ Bicha interesseira,eaisusuq,pt,bicha,"quem gostou, gostou. quem não gostou só lamento bjs","quem gostou, gostou. quem não gostou só lamento bjs",564,162294,,,0,Bicha interesseira,yes,,r
58,131,131,2018-10-07 23:48:32+00:00,1049084088840343553,@lefaery minha madrasta é a mulher mais sensata que tem oh bicha inteligente,shotobios,pt,bicha,"Ela/dela, 26. 月が綺麗ですね, @yelanc6 ♡","Ela/dela, 26. 月が綺麗ですね, @yelanc6 ♡",242,42350,,,1,minha madrasta é a mulher mais sensata que tem oh bicha inteligente,yes,,r
59,133,133,2018-10-07 23:46:23+00:00,1049083548244873216,@DaniloGentili @jeanwyllys_real Agora essa bicha trabalha!,markous27,pt,bicha,nem direita...nem esquerda..nem centrão kkkkk,nem direita...nem esquerda..nem centrão kkkkk,178,2102,,,1,Agora essa bicha trabalha!,yes,,r
60,138,138,2018-10-07 23:44:49+00:00,1049083154450075649,"@lewishgirl @stylessbutera Aí ai viu bicha despeitada, para né preconceito não combina.",WesleySousaV8,pt,bicha,"Não fui eu que ordenei a você? Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar","Não fui eu que ordenei a você? Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar",202,158,,,1,"Aí ai viu bicha despeitada, para né preconceito não combina.",yes,,r
61,139,139,2018-10-07 23:42:13+00:00,1049082500738375680,"acho que minha cachorra sentiu a minha tristeza, a bicha ta até meio cabisbaixa",madvilla1n,pt,bicha,banguense/ história- UNIRIO,banguense/ história- UNIRIO,413,57758,,,1,"acho que minha cachorra sentiu a minha tristeza, a bicha ta até meio cabisbaixa",yes,,r
62,141,141,2018-10-07 23:41:07+00:00,1049082223805300736,"@DeChantily Ai bicha, eu to indignada aqui 😢",nemeubem,pt,bicha,"Geminiana, 28","Geminiana, 28",174,31797,,,0,"Ai bicha, eu to indignada aqui 😢",yes,,r
63,144,144,2018-10-07 23:38:25+00:00,1049081541547216896,@filippeaguia @FatosEx Bicha doente kkkkk,luakalt,pt,bicha,Uma escritora secreta viciada em café.,Uma escritora secreta viciada em café.,101,4869,,,1,Bicha doente kkkkk,yes,,r
64,147,147,2018-10-07 23:35:06+00:00,1049080707404980224,@lacerda ô bicha chata essa Otariane,JonatasFaustino,pt,bicha,"Jogado para a direita por militontos e jogado pra esquerda por fascistinhas. 

Bolsominions, militontos e dalesteiros não são bem-vindos.","Jogado para a direita por militontos e jogado pra esquerda por fascistinhas. 

Bolsominions, militontos e dalesteiros não são bem-vindos.",746,22501,,,1,ô bicha chata essa Otariane,yes,,r
65,149,149,2018-10-07 23:34:47+00:00,1049080626773725186,"Bicha, aproveita para se montar agora",DanuttaAlves,pt,bicha,Sempre virando pq nunca sei o caminho,Sempre virando pq nunca sei o caminho,247,1921,,,1,"Bicha, aproveita para se montar agora",yes,,r
66,150,150,2018-10-07 23:33:56+00:00,1049080415271641088,@Jotasbr @caioblinder Vai começar as blitz pra prender e tomar os carros : aqui era se correr a bicha pega e se ficar o gordo toma,harleypmw,pt,bicha," Caridade e humildade, tal a senda única da salvação. Egoísmo e orgulho, tal a da perdição."," Caridade e humildade, tal a senda única da salvação. Egoísmo e orgulho, tal a da perdição.",707,8961,,,0,Vai começar as blitz pra prender e tomar os carros : aqui era se correr a bicha pega e se ficar o gordo toma,yes,,r
67,151,151,2018-10-07 23:32:51+00:00,1049080140561633280,O Brasil se acabando e a bicha postando ft nadando com legenda nada a ver. Olha.....,pablodoceu,pt,bicha,,,747,35412,,,0,O Brasil se acabando e a bicha postando ft nadando com legenda nada a ver. Olha.....,yes,,r
68,152,152,2018-10-07 23:32:30+00:00,1049080053601058816,@mafe_mirand Essa bicha eh doente kkkkkkkkkkkkkkkkkkk,lcaarvalho1,pt,bicha,Pain.,Pain.,429,40980,,,1,Essa bicha eh doente kkkkkkkkkkkkkkkkkkk,yes,,r
69,153,153,2018-10-07 23:32:19+00:00,1049080006037700613,@jessica_laary Pra uns trem desse não chama né bicha,looh_torres,pt,bicha,sempre na merda /🤡,sempre na merda /🤡,467,29395,,,1,Pra uns trem desse não chama né bicha,yes,,r
70,154,154,2018-10-07 23:32:13+00:00,1049079984218951682,"@iaragb Sim, mas nunca irá embora pra Venezuela, Cuba, Bolívia.....comunista de IPhone, bicha velha",juniomengoo1974,pt,bicha,"Amo meu Flamengo, sou🇧🇷, mas amo e vivo aqui🇺🇸 Deus abençoe nossos Presidentes Bolsonaro e Trump!!! Go Packers!!!!!!","Amo meu Flamengo, sou🇧🇷, mas amo e vivo aqui🇺🇸 Deus abençoe nossos Presidentes Bolsonaro e Trump!!! Go Packers!!!!!!",2838,7440,,,1,"Sim, mas nunca irá embora pra Venezuela, Cuba, Bolívia.....comunista de IPhone, bicha velha",yes,,r
